id,title,license,gpl_compat,views,likes,date,passes,has_mic,has_music,input_types,url
dlsGDf,"Matrix maelstrom",CC0,true,1600,57,1672608140,1,false,false,,https://www.shadertoy.com/view/dlsGDf
mtjGWz,"Rainbow wheel",CC0,true,1600,55,1673177467,1,false,false,,https://www.shadertoy.com/view/mtjGWz
Ns2XWc,"Reflecting toruses",CC0,true,1594,45,1621175258,1,false,false,,https://www.shadertoy.com/view/Ns2XWc
cdKXDV,"Logarithmic spirals tweaked",CC0,true,1591,47,1681647663,1,false,false,,https://www.shadertoy.com/view/cdKXDV
7tGfW3,"Happy little windows terminal",CC0,true,1574,30,1665345162,1,false,false,,https://www.shadertoy.com/view/7tGfW3
ttBcRV,"Flying through glowing stars",CC0,true,1557,23,1594818145,1,false,false,,https://www.shadertoy.com/view/ttBcRV
dlSGWm,"Warping boxes",CC0,true,1557,37,1673381999,1,false,false,,https://www.shadertoy.com/view/dlSGWm
WsjfDt,"Dawn at a distant world",CC0,true,1553,20,1591135285,1,false,false,,https://www.shadertoy.com/view/WsjfDt
WlcBD2,"Mandelbox slices",CC0,true,1542,23,1613427262,1,false,false,,https://www.shadertoy.com/view/WlcBD2
mtjyz1,"CC0: Quick hack on the train",CC0,true,1542,39,1691496963,1,false,false,,https://www.shadertoy.com/view/mtjyz1
7sj3zw,"Mandelbox crystal",CC0,true,1541,20,1617180925,1,false,true,musicstream,https://www.shadertoy.com/view/7sj3zw
cdlSWf,"Cracked heirloom",CC0,true,1536,46,1669655479,1,false,false,,https://www.shadertoy.com/view/cdlSWf
NlXBDn,"Pretty sweet colors",CC0,true,1517,24,1650695712,1,false,false,,https://www.shadertoy.com/view/NlXBDn
7dKBDt,"Dodecahedron inner reflections",CC0,true,1511,31,1659039543,1,false,false,,https://www.shadertoy.com/view/7dKBDt
csV3Wd,"Sommarhack 2023",CC0,true,1510,44,1679236769,1,false,true,musicstream,https://www.shadertoy.com/view/csV3Wd
wdBfDK,"Mandelbrot with ""smart"" AA",CC0,true,1509,16,1590827507,1,false,false,,https://www.shadertoy.com/view/wdBfDK
mdfBzs,"Tuesday infinite zoom",CC0,true,1508,43,1689067982,1,false,false,,https://www.shadertoy.com/view/mdfBzs
NldSzr,"Thindal twitch logo",CC0,true,1504,21,1638625776,1,false,false,,https://www.shadertoy.com/view/NldSzr
7tGcDG,"Nested transparent sphere4s",CC0,true,1503,32,1662098720,1,false,false,,https://www.shadertoy.com/view/7tGcDG
msGXRD,"Logarithmic spiral of spheres",CC0,true,1502,41,1680782276,1,false,false,,https://www.shadertoy.com/view/msGXRD
mlXGzs,"Infinite Arcs III",CC0,true,1501,34,1672229355,1,false,false,,https://www.shadertoy.com/view/mlXGzs
7tyfzK,"Illuminated sphere",CC0,true,1498,43,1664823088,1,false,false,,https://www.shadertoy.com/view/7tyfzK
dtBXWh,"Sphere recursion",CC0,true,1488,54,1675977859,1,false,false,,https://www.shadertoy.com/view/dtBXWh
dltyWr,"Dawn at a distant world II",CC0,true,1487,53,1699092357,2,false,true,buffer|musicstream,https://www.shadertoy.com/view/dltyWr
tllyWf,"Once upon time... space",CC0,true,1485,24,1593333776,1,false,false,,https://www.shadertoy.com/view/tllyWf
3lVczV,"Metal Kaleidoscope",CC0,true,1485,13,1611353252,1,false,false,,https://www.shadertoy.com/view/3lVczV
3dfBWH,"The Rorsach Mask",CC0,true,1481,6,1588101022,1,false,false,,https://www.shadertoy.com/view/3dfBWH
